estado,descripcion,fechalimite
COMPLETADA,"nunc ac mattis ornare, lectus ante dictum mi, ac mattis",02/16/2024
COMPLETADA,"enim, sit amet ornare lectus justo eu arcu. Morbi sit",09/10/2023
PENDIENTE,lacus. Aliquam rutrum lorem ac risus. Morbi metus. Vivamus euismod,06/19/2023
PENDIENTE,cursus purus. Nullam scelerisque neque sed sem egestas blandit. Nam,03/06/2024
EN_PROGRESO,"eu, euismod ac, fermentum vel, mauris. Integer sem elit, pharetra",01/08/2023
EN_PROGRESO,"euismod ac, fermentum vel, mauris. Integer sem elit, pharetra ut,",01/29/2024
COMPLETADA,"dui, semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies",04/30/2023
COMPLETADA,"montes, nascetur ridiculus mus. Donec dignissim magna a tortor. Nunc",12/12/2022
PENDIENTE,Quisque nonummy ipsum non arcu. Vivamus sit amet risus. Donec,08/06/2023
PENDIENTE,"erat. Sed nunc est, mollis non, cursus non, egestas a,",04/13/2023
EN_PROGRESO,mollis. Duis sit amet diam eu dolor egestas rhoncus. Proin,01/13/2023
EN_PROGRESO,"iaculis nec, eleifend non, dapibus rutrum, justo. Praesent luctus. Curabitur",06/16/2024
COMPLETADA,malesuada malesuada. Integer id magna et ipsum cursus vestibulum. Mauris,11/13/2022
COMPLETADA,"ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus justo",05/23/2023
PENDIENTE,"dui. Fusce diam nunc, ullamcorper eu, euismod ac, fermentum vel,",02/22/2023
PENDIENTE,"vitae, orci. Phasellus dapibus quam quis diam. Pellentesque habitant morbi",10/24/2023
EN_PROGRESO,"Nunc ut erat. Sed nunc est, mollis non, cursus non,",10/07/2022
EN_PROGRESO,"rhoncus. Donec est. Nunc ullamcorper, velit in aliquet lobortis, nisi",07/01/2024
COMPLETADA,"pellentesque, tellus sem mollis dui, in sodales elit erat vitae",12/17/2023
COMPLETADA,"mollis dui, in sodales elit erat vitae risus. Duis a",06/10/2024
PENDIENTE,"Sed malesuada augue ut lacus. Nulla tincidunt, neque vitae semper",01/27/2024
PENDIENTE,consequat dolor vitae dolor. Donec fringilla. Donec feugiat metus sit,03/08/2024
EN_PROGRESO,"scelerisque, lorem ipsum sodales purus, in molestie tortor nibh sit",10/27/2022
EN_PROGRESO,"elit, dictum eu, eleifend nec, malesuada ut, sem. Nulla interdum.",12/24/2022
COMPLETADA,"natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",04/02/2023
COMPLETADA,ridiculus mus. Proin vel arcu eu odio tristique pharetra. Quisque,11/30/2022
PENDIENTE,"sed, hendrerit a, arcu. Sed et libero. Proin mi. Aliquam",03/25/2024
PENDIENTE,ipsum. Phasellus vitae mauris sit amet lorem semper auctor. Mauris,05/19/2023
EN_PROGRESO,"Nullam velit dui, semper et, lacinia vitae, sodales at, velit.",10/04/2022
EN_PROGRESO,Nulla aliquet. Proin velit. Sed malesuada augue ut lacus. Nulla,10/23/2023
COMPLETADA,"at, nisi. Cum sociis natoque penatibus et magnis dis parturient",08/24/2023
COMPLETADA,"massa. Integer vitae nibh. Donec est mauris, rhoncus id, mollis",04/27/2024
PENDIENTE,sed pede. Cum sociis natoque penatibus et magnis dis parturient,04/22/2023
PENDIENTE,"magna. Ut tincidunt orci quis lectus. Nullam suscipit, est ac",07/31/2023
EN_PROGRESO,"id ante dictum cursus. Nunc mauris elit, dictum eu, eleifend",07/16/2023
EN_PROGRESO,dignissim tempor arcu. Vestibulum ut eros non enim commodo hendrerit.,11/16/2023
COMPLETADA,"ornare, facilisis eget, ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida",11/01/2022
COMPLETADA,pede ac urna. Ut tincidunt vehicula risus. Nulla eget metus,01/19/2024
PENDIENTE,"Fusce aliquam, enim nec tempus scelerisque, lorem ipsum sodales purus,",01/26/2024
PENDIENTE,ipsum nunc id enim. Curabitur massa. Vestibulum accumsan neque et,07/30/2023
EN_PROGRESO,est arcu ac orci. Ut semper pretium neque. Morbi quis,11/11/2023
EN_PROGRESO,"eleifend egestas. Sed pharetra, felis eget varius ultrices, mauris ipsum",11/09/2022
COMPLETADA,fames ac turpis egestas. Fusce aliquet magna a neque. Nullam,12/10/2022
COMPLETADA,"dui quis accumsan convallis, ante lectus convallis est, vitae sodales",11/07/2023
PENDIENTE,"iaculis nec, eleifend non, dapibus rutrum, justo. Praesent luctus. Curabitur",02/04/2024
PENDIENTE,Cras eu tellus eu augue porttitor interdum. Sed auctor odio,03/24/2023
EN_PROGRESO,orci. Ut sagittis lobortis mauris. Suspendisse aliquet molestie tellus. Aenean,02/10/2023
EN_PROGRESO,vitae purus gravida sagittis. Duis gravida. Praesent eu nulla at,02/20/2024
COMPLETADA,"congue a, aliquet vel, vulputate eu, odio. Phasellus at augue",08/25/2022
COMPLETADA,"Donec consectetuer mauris id sapien. Cras dolor dolor, tempus non,",06/10/2024
